array_n,list,Platform,status
0,"['Kenneth Cole','Lee','Levi's','LifeStride','Liz Claiborne','London Fog']",kaggle,done
1,"['lululemon','Marmot','Merrell','Michael Kors','Mudd','Naturalizer']",kaggle,done
2,"['Nautica','New Balance','New Era','Nike','Nine West','North Face']",kaggle,done
3,"['Oakley','Patagonia','Polo Ralph Lauren','Puma','Quiksilver','Reebok']",kaggle,done
4,"['Rockport','Sam Edelman','Samsonite','Shape-ups','Skechers','SOREL']",kaggle,done
5,"['Teva','Timberland','Tommy John','TOMS','True Religion','TUMI']",kaggle,done
6,"['UGG','Under Armour','Vans','Victorinox Swiss Army','Vineyard Vines','Wolverine']",kaggle,done
7,"['Wrangler','Zenni','Admiral','Amana','Avanti','Bissell']",kaggle,done
8,"['Blueair','Bosch','Coway','Dyson','Electrolux','Fisher Paykel']",kaggle,done
9,"['Frigidaire','Gaggenau','GE','GE Profile','Gibson','Haier America']",kaggle,done
10,"['Honeywell','Hotpoint','InSinkErator','IQAir','Jenn-Air','Kenmore']",kaggle,done
11,"['Lennox','LG','Magic Chef','Maytag','Molekule','Ninja']",kaggle,done
12,"['Samsung','Shark','Sub-Zero','Tappan','Viking','Westinghouse']",,
13,"['Whirlpool','7UP','A & W','Canada Dry','Coca Cola','Coke Zero']",kaggle,done
14,"['Crush','Diet Coke','Diet Dr. Pepper','Diet Mountain Dew','Diet Pepsi','Dr. Pepper']",,
15,"['Evian','Fresca','Full Throttle','Mountain Dew','Mr. PiBB','NOS']",kaggle,done
16,"['Pepsi','Pepsi Zero Sugar','Powerade Zero','Red Bull','Sierra Mist','Sprite']",,
17,"['Squirt','Sunkist','Aquafina','Arrowhead','Bai','Canned Seattle's Best Coffee']",,
18,"['Country Time','Crystal Light','Dasani','Deer Park','Dole','Fiji']",,
19,"['Florida's Natural','Folgers','Gatorade','Goya Coconut Water','Green Mountain','Hubert’s Lemonade']",,
20,"['Ice Mountain','Kirkland Signature Coconut Water','Lipton','Maxwell House','Minute Maid','Motts']",,
21,"['Nestea','Ozarka','Perrier','Poland Spring','Powerade','Propel']",,
22,"['Resource','Simply Orange','Snapple','Starbucks DoubleShot Energy+Coffee','Sun Drop','Trop50']",,
23,"['Tropicana','V8','Vita Coco','VitaminWater','Zephyrhills','ZICO']",,
24,"['5-Hour Energy','AMP','Aquafina FlavorSplash','Arizona Iced Tea','Barq's','Capri Sun']",,
25,"['Fruit2O','G2','Hansen's','Hawaiian Punch','Izze','Jones Soda']",,
26,"['MiO','Monster','Naked Juice','Nestle Pure Life','Ocean Spray','Odwalla']",,
27,"['Rockstar','Smartwater','Sobe Life Water','Starbucks Bottled Frappuccino','Starbucks Doubleshot','Sunny D']",,
28,"['Welch's','Amstel','Anheuser-Busch InBev','Beck's','Blue Moon','Bon & Viv']",,
29,"['Bud Light','Budweiser','Busch','Coors Banquet','Coors Light','Corona']",,
30,"['Dogfish Head','Dos Equis','Fat Tire','Fosters','Founders','Guinness']",,
31,"['Heineken','Icehouse','Keystone Light','LaBatte Blue','Lagunitas','Michelob ULTRA']",,
32,"['Mike's Hard Lemonade','Miller High Life','Miller Lite','Milwaukee's Best','Modelo','Molson']",,
33,"['Molson Coors Beverage Company (formerly MillerCoors)','Natural Light','Pabst Blue Ribbon','Pacifico','Red Stripe','Redd's Apple Ale']",,
34,"['Rolling Rock','Samuel Adams','Shock Top','Sierra Nevada','Stella Artois','Tecate']",,
35,"['Truly Hard Seltzer','White Claw','Yuengling','Absolut','Aperol','Bacardi']",,
36,"['Baileys','Bombay Sapphire','Canadian Club','Captain Morgan','Courvoisier','Crown Royal']",,
37,"['Dewar's','Gordon's','Grey Goose','Hennessy','J & B','Jack Daniel's']",,
38,"['Jagermeister','Jameson','Jim Beam','Johnnie Walker','Jose Cuervo','Maker's Mark']",,
39,"['Martini & Rossi','Patron','Skyy','Smirnoff','Southern Comfort','Tanqueray']",,
