array_n,list,Platorm,Status
89,"['Chobani Gimmies', 'Cinnamon Toast Crunch', 'Coffee-Mate', 'Danimals', 'Dannon', 'DiGiorno', 'Dole Packaged Foods', 'Dove (chocolate)']",,
90,"[""Dreyer's"", ""Earth's Best"", 'Fage', 'Fairlife', 'Fiber One', 'Frito-Lay', 'Frosted Flakes', 'Fruit Gushers']",,
91,"['General Mills', 'Ghirardelli', 'Giovanni Rana', 'Go-Gurt', 'Hamburger Helper', 'Happy Baby', ""Hershey's"", 'Honey Bunches of Oats']",,
92,"['Honey Nut Cheerios', 'Horizon Organic Milk', 'Häagen-Dazs', 'Icelandic Provisions', 'Impossible Foods', 'Johnsonville Sausage', 'Kashi', 'Kinder Bueno']",,
93,"['Kinder Joy', 'King’s Hawaiian', 'KozyShack', 'Kraft', 'Kraft Mac & Cheese', 'Land-O-Lakes (butter)', 'Land-O-Lakes (cheese)', 'Liberte']",,
94,"['Lindt', 'Lucky Charms', ""M&M's"", 'Maruchan Instant Lunch', 'Maruchan Ramen Noodle Soup', 'McCormick', 'Mountain High', 'Mrs. Dash']",,
95,"['Muir Glen', 'Nabisco', 'Nesquik', 'Nestle Toll House', 'Nissin Cup Noodles', 'Nissin Top Ramen', 'Noosa', 'Old El Paso']",,
96,"['Omaha steaks', 'Ore-Ida', 'Oreo', 'Organic Valley', 'Ortega', 'Oscar Mayer', 'Oui', 'Pacific']",,
97,"['PayDay', 'Peanut Chews', 'Pillsbury', 'Planters', 'Plum', 'Prego', 'Progresso', 'Quaker']",,
98,"['Red Baron', ""Reese's"", ""Reese's Puffs"", 'Sargento', 'Siggi’s', 'Snickers', 'Special K', 'Splenda']",,
99,"['StarKist', 'Stonyfield', 'Swanson', 'Take 5', 'Tillamook', 'Toaster Strudel', ""Totino's Pizza Rolls"", 'Trolli']",,
100,"['White Castle Frozen Sliders', 'Yoplait', 'ACT', 'AXE', ""Beggin' Strips"", 'Blue Buffalo', ""Burt's Bees"", 'Charmin']",,
101,"['Clorox', 'Colgate', 'Crest', 'Dawn', 'Dial', 'Dollar Shave Club', 'Dove', 'Ecover']",,
102,"['Gillette', 'Hefty', 'Hello Products', ""Hill's Pet Nutrition"", 'Invisalign', 'J.R. Watkins', ""Kibbles 'n Bits"", 'Listerine']",,
103,"['Lysol', 'Meow Mix', 'Method', 'Milk-Bone', ""Mrs. Meyer's"", ""Nature's Recipe"", 'Old Spice', 'Pedigree']",,
104,"['Pounce', 'Purina', 'Purina Cat Chow', 'Reynolds', 'Right Guard', 'Royal Canin', 'Schick', 'Scope']",,
105,"['Secret', 'Seventh Generation', 'Shout', 'Smile Direct Club', 'Temptations', 'Tide', 'Tidy Cats', '99 Cents Only']",,
106,"['Big Lots', ""BJ's Wholesale"", ""Bloomingdale's"", 'Burlington', 'Cost Plus World Market', 'Costco', 'CVS', ""Dillard's""]",,
107,"['Dollar General', 'Dollar Tree', 'Family Dollar', 'Hautelook', 'J.C. Penney', 'Kmart', ""Kohl's"", 'Lord & Taylor']",,
108,"[""Macy's"", ""Marshall's"", 'Neiman Marcus', 'Neiman Marcus Last Call', 'Nordstrom', 'Nordstrom Rack', 'Party City', 'Rite Aid']",,
109,"['Ross', 'Saks', 'Saks Off 5th', ""Sam's Club"", 'Sears', 'Stein Mart', 'Target', 'TJ Maxx']",,
110,"['Walgreens', 'Walmart', ""Applebee's"", 'Bahama Breeze', 'Benihana', ""BJ's"", 'Buffalo Wild Wings', 'California Pizza Kitchen']",,
111,"[""Carrabba's"", 'Chevys', ""Chili's"", 'Cracker Barrel', 'El Torito', ""Famous Dave's"", 'Golden Corral', 'HomeTown Buffet']",,
112,"['Hooters', ""Houlihan's"", ""Joe's Crab Shack"", ""Landry's Seafood House"", ""Luby's"", 'Old Country Buffet', 'Olive Garden', 'On The Border']",,
113,"['Red Lobster', 'Red Robin', ""Romano's Macaroni Grill"", ""Ruby Tuesday's"", ""Ryan's"", 'Sizzler', 'Taco Cabana', 'Texas Roadhouse']",,
114,"[""TGI Friday's"", 'The Cheesecake Factory', 'Tilted Kilt', 'Twin Peaks', 'Wingstop', 'Backyard Burgers', 'Blimpie', 'Bob Evans']",,
115,"['Boston Market', 'Champps', ""Charley's Crab"", 'Chick-fil-A', 'Chipotle', 'Chuck E Cheese', ""Cici's Pizza"", 'Cosi']",,
116,"[""Dave and Buster's"", ""Denny's"", ""Eat 'n Park"", 'El Pollo Loco', 'Elephant Bar', 'Five Guys', ""Friendly's Ice Cream"", ""Frisch's Big Boy""]",,
117,"['Fuddruckers', 'Green Burrito', ""Houston's"", 'IHOP', ""Marie Callender's"", ""O'Charley's"", 'Panda Express', 'Panera Bread']",,
118,"['Pei Wei Asian Diner', 'Qdoba', 'Sonic', ""Steak 'n' Shake"", 'Taco Bueno', 'The Habit Burger Grill', 'Topgolf', 'Waffle House']",,
119,"[""Zaxby's"", ""Arby's"", 'Baja Fresh', 'Bojangles’', 'Burger King', ""Captain D's"", ""Carl's Jr"", ""Church's""]",,
120,"['Del Taco', ""Hardee's"", 'In-N-Out', 'Jack in the Box', 'Jersey Mike’s', ""Jimmy John's"", 'KFC', 'Krystal']",,
121,"['Long John Silvers', 'McDelivery', ""McDonald's"", ""Nathan's Famous"", 'Popeyes', 'Quiznos', ""Rubio's"", ""Schlotzsky's""]",,
122,"['Subway', 'Taco Bell', ""Wendy's"", 'Whataburger', 'White Castle', 'Wienerschnitzel', 'A & W', 'Baskin Robbins']",,
123,"['Caribou Coffee', 'Coffee Bean & Tea Leaf', 'Cold Stone Creamery', ""Culver's"", 'Dairy Queen', ""Domino's"", 'Donatos', ""Dunkin'""]",,
124,"['Einstein Bagels', 'Giordanos', 'Godfather', 'Jamba', 'Krispy Kreme', ""Little Caesar's"", 'Marco’s Pizza', 'MOD Pizza']",,
125,"[""Noah's Bagels"", 'Old Chicago Pasta & Pizza', 'Orange Julius', ""Papa John's"", ""Papa Murphy's"", ""Peet's Coffee"", 'Pinkberry', 'Pizza Hut']",,
126,"['Red Mango', 'Round Table Pizza', ""Seattle's Best"", 'Smoothie King', 'Starbucks', ""Tim Horton's"", 'Tropical Smoothie', 'Black Angus']",,
127,"['Bonefish', 'Buca di Beppo', 'Chart House', ""Fleming's"", ""J. Alexander's"", 'Kona Grill', ""Logan's Roadhouse"", 'Lone Star Steakhouse']",,
128,"['LongHorn Steakhouse', ""Maggiano's"", ""McCormick & Schmick's"", ""Morton's"", 'Outback Steakhouse', ""P.F. Chang's"", 'Rainforest Cafe', ""Ruth's Chris""]",,
129,"['Saltgrass Steakhouse', 'Smith & Wollensky', 'Smokey Bones BBQ & Grill', 'The Palm', ""Tony Roma's"", 'Abbott', 'AbbVie', 'Amgen']",,
130,"['AstraZeneca', 'Bausch & Lomb', 'Bayer', 'Bristol-Myers Squibb', 'Eli Lilly', 'Gilead', 'GlaxoSmithKline', 'Johnson & Johnson']",,
131,"['Merck', 'Novartis', 'Novo Nordisk', 'Pfizer', 'Roche', 'Sanofi', '1-800 Contacts', 'Acuvue']",,
132,"['Air Optix', 'Airborne', 'Alka-Seltzer', 'Benefiber', 'Bio Oil', 'Centrum', 'Citrucel', 'Clear Eyes']",,
133,"['CooperVision', 'Culturelle', 'Durex', 'Emergen-C', 'Enfamil', 'Ensure', 'Glucerna', 'Hubble']",,
134,"['Imodium', 'Lactaid', 'Lamisil', 'Lotrimin', 'Maalox', 'Mederma', 'Metamucil', 'Mylanta']",,
135,"['Nature Made', 'Nexium', 'One-A-Day', 'Pedialyte', 'PediaSure', 'Pepcid', 'Preparation-H', 'Refresh']",,
136,"['Rolaids', 'Scar Away', 'SKYN', 'SynergEyes', 'Systane', 'Trojan', 'Tums', 'Visine']",,
137,"['Zantac', 'ZzzQuil', 'Advil', 'Afrin', 'Alavert', 'Aleve', 'Allegra', 'Band-Aid']",,
138,"['Bayer Aspirin', 'Benadryl', 'Bengay', 'BioFreeze', ""Children's Motrin"", ""Children's Tylenol"", 'ClariSpray', 'Claritin']",,
139,"['Coricidin', 'Curad', 'Dayquil', 'Delsym', 'Excedrin', 'Flonase', 'Icy Hot', 'Little Fevers']",,
140,"['Motrin', 'Mucinex', 'Nasacort', 'Neosporin', 'Nyquil', 'Pediacare', 'Rhinocort', 'Robitussin']",,
141,"['Salonpas', 'Sudafed', 'Theraflu', 'Thermacare', 'Triaminic', 'Tylenol', 'Xyzal', 'Zicam']",,
142,"['Zyrtec', 'Abilify', 'Advair', 'Alcon', 'Ambien', 'Aricept', 'Avandia', 'Aventis']",,
143,"['Avodart', 'Boniva', 'Breo', 'Cialis', 'Coreg', 'Crestor', 'Dailies', 'Detrol']",,
144,"['Enbrel', 'Eylea', 'Femara', 'Fosamax', 'Frova', 'Humira', 'Imitrex', 'Januvia']",,
145,"['Lantus', 'Levitra', 'Lipitor', 'Nasonex', 'Plavix', 'Premarin', 'Prempro', 'Relpax']",,
146,"['Requip', 'Revlimid', 'Rituxan', 'Similasan', 'Singulair', 'Strattera', 'Symbicort', 'Treximet']",,
147,"['Valtrex', 'Vesicare', 'Viagra', 'Victoza', 'Wellbutrin', 'Zocor', 'Zoloft', 'Zomig']",,
148,"['Acorns', 'American Express', 'Blackrock (ishares)', 'Capital One', 'CareCredit', 'Charles Schwab', 'Credit Karma', 'Discover']",,
149,"['E*TRADE', 'Edward Jones', 'Equifax', 'Equitable', 'Experian.com', 'Fidelity', 'Franklin Templeton', 'FreeCreditscore.com']",,
150,"['Goldman Sachs', 'Invesco', 'Janus', 'JP Morgan Chase', 'LendingTree', 'Life Lock', 'Lincoln Financial', 'MasterCard']",,
151,"['Merrill Lynch', 'Mint', 'MoneyGram', 'Morgan Stanley', 'Nationwide', 'NETELLER', 'Netspend', 'Oppenheimer']",,
152,"['PayPal', 'Paysafe', 'Paysafecard', 'PIMCO', 'Prudential', 'Putnam', 'Quicken Loans', 'Rocket Mortgage']",,
153,"['Scottrade', 'Skrill', 'SoFi', 'Square', 'T. Rowe Price', 'TD Ameritrade', 'TIAA', 'Transunion']",,
154,"['UBS', 'USAA', 'Vanguard', 'Venmo', 'Visa', 'Voya Financial', 'Wells Fargo Advisors', 'Western Union']",,
155,"['Aria', ""Bally's"", 'Bellagio', 'Caesars Palace', 'Caesar’s Rewards', 'Cosmopolitan', 'Excalibur', 'Flamingo']",,
156,"['Foxwoods Casino', 'Hard Rock Hotel', ""Harrah's"", 'Las Vegas Hilton', 'Luxor', 'Mandalay Bay', 'MGM Grand', 'Mirage']",,
157,"['New York New York', 'Paris Las Vegas', 'Park MGM', 'Planet Hollywood', 'Rio', 'Stratosphere', 'The Palazzo', 'Treasure Island']",,
158,"['Tropicana', 'Venetian', 'Winstar World Casino', 'Wynn Las Vegas', '7-Eleven', 'A & P', 'Albertsons', 'Aldi']",,
159,"['Amazon Fresh', 'BevMo!', ""Casey's General Store"", 'Cub Foods', 'Fairway', 'Food Lion', 'Fresh & Easy', 'Fresh Market']",,
160,"['Giant', 'Giant Eagle', 'Harris Teeter', 'HEB', 'Kroger', 'Meijer', 'Pathmark', 'Piggly Wiggly']",,
161,"['Publix', 'Safeway', 'Save A Lot', ""Shaw's"", ""Shop 'n Save"", 'Sprouts Farmers Market', 'Stop & Shop', ""Trader Joe's""]",,
162,"[""Wegman's"", 'Whole Foods', 'Wild Oats', 'Winn-Dixie', 'Benefit Cosmetics & Boutique', 'Bliss Spa', 'Clear', 'Color Vibrancy']",,
163,"['Colorsilk', 'European Wax Center', 'EverPure', 'Excellence', 'Fantastic Sams', 'Feria', 'Fructis', 'Garnier']",,
164,"['Great Clips', 'Hairitage By Mindy', 'Head & Shoulders', 'Healthy Look', 'Herbal Essences', 'John Frieda', 'Kristin Ess', ""L'Oreal Paris""]",,
165,"['Natural Instincts', ""Nice 'n Easy"", 'Nutrisse', 'OGX', 'Pantene', 'Paul Mitchell', 'Power Moisture', 'Preference']",,
166,"['Revlon', 'Rogaine', 'Sally Beauty', 'Smooth Intense', 'Sport Clips', 'Supercuts', 'Together Beauty', 'Total Repair 5']",,
