,0,1,2,3,4,5,6,7,8,list
0,C9 by Champion,Calvin Klein,Champion,Coach,Canned Seattle's Best Coffee,Hubert’s Lemonade,Kirkland Signature Coconut Water,Starbucks DoubleShot Energy+Coffee,LaBatte Blue,"[""C9 by Champion"",""Calvin Klein"",""Champion"",""Coach"",""Canned Seattle's Best Coffee"",""Hubert’s Lemonade"",""Kirkland Signature Coconut Water"",""Starbucks DoubleShot Energy+Coffee"",""LaBatte Blue""]"
1,Molson Coors Beverage Company (formerly MillerCoors),Dewar's,Gordon's,Grey Goose,Hennessy,J & B,Jack Daniel's,AT&T U-Verse,DirecTV Now (streaming),"[""Molson Coors Beverage Company (formerly MillerCoors)"",""Dewar's"",""Gordon's"",""Grey Goose"",""Hennessy"",""J & B"",""Jack Daniel's"",""AT&T U-Verse"",""DirecTV Now (streaming)""]"
2,Hulu with Live TV,MotorTrend (streaming),Optimum / Altice,Pluto TV,Sling TV,Verizon FiOS,YouTube Originals,Amazon Echo,Beats by Dr. Dre,"[""Hulu with Live TV"",""MotorTrend (streaming)"",""Optimum / Altice"",""Pluto TV"",""Sling TV"",""Verizon FiOS"",""YouTube Originals"",""Amazon Echo"",""Beats by Dr. Dre""]"
3,Chromecast,Google Stadia,Nintendo Wii,Samsung SHAPE,C. J. Banks,White House/Black Market,CitiTrends,Everlane,K & G Fashion Superstore,"[""Chromecast"",""Google Stadia"",""Nintendo Wii"",""Samsung SHAPE"",""C. J. Banks"",""White House/Black Market"",""CitiTrends"",""Everlane"",""K & G Fashion Superstore""]"
4,Stitch Fix,Google Fi,Metro by T-Mobile (Metro PCS),Ring (Video Doorbell),SiriusXM,Straight Talk Wireless,Xfinity Mobile,Amazon Alexa,Apple Siri,"[""Stitch Fix"",""Google Fi"",""Metro by T-Mobile (Metro PCS)"",""Ring (Video Doorbell)"",""SiriusXM"",""Straight Talk Wireless"",""Xfinity Mobile"",""Amazon Alexa"",""Apple Siri""]"
5,Fitbit,LeEco,Lifeproof,Mac,Bank of New York,BMO Harris Bank,Synchrony Bank,Truist,Annie’s,"[""Fitbit"",""LeEco"",""Lifeproof"",""Mac"",""Bank of New York"",""BMO Harris Bank"",""Synchrony Bank"",""Truist"",""Annie’s""]"
6,BabyRuth,Bumble Bee Foods,Chobani,Chobani Gimmies,Dole Packaged Foods,Fairlife,Giovanni Rana,Honey Bunches of Oats,Häagen-Dazs,"[""BabyRuth"",""Bumble Bee Foods"",""Chobani"",""Chobani Gimmies"",""Dole Packaged Foods"",""Fairlife"",""Giovanni Rana"",""Honey Bunches of Oats"",""Häagen-Dazs""]"
7,Impossible Foods,Kinder Bueno,Kinder Joy,King’s Hawaiian,KozyShack,Kraft Mac & Cheese,Land-O-Lakes (cheese),Maruchan Instant Lunch,Nissin Cup Noodles,"[""Impossible Foods"",""Kinder Bueno"",""Kinder Joy"",""King’s Hawaiian"",""KozyShack"",""Kraft Mac & Cheese"",""Land-O-Lakes (cheese)"",""Maruchan Instant Lunch"",""Nissin Cup Noodles""]"
8,Reese's Puffs,Siggi’s,Toaster Strudel,White Castle Frozen Sliders,Beggin' Strips,Dollar Shave Club,Hill's Pet Nutrition,J.R. Watkins,Milk-Bone,"[""Reese's Puffs"",""Siggi’s"",""Toaster Strudel"",""White Castle Frozen Sliders"",""Beggin' Strips"",""Dollar Shave Club"",""Hill's Pet Nutrition"",""J.R. Watkins"",""Milk-Bone""]"
9,Nature's Recipe,Smile Direct Club,Hautelook,Landry's Seafood House,Cosi,Frisch's Big Boy,O'Charley's,Steak 'n' Shake,The Habit Burger Grill,"[""Nature's Recipe"",""Smile Direct Club"",""Hautelook"",""Landry's Seafood House"",""Cosi"",""Frisch's Big Boy"",""O'Charley's"",""Steak 'n' Shake"",""The Habit Burger Grill""]"
10,Bojangles’,Jersey Mike’s,McDelivery,Coffee Bean & Tea Leaf,Marco’s Pizza,Old Chicago Pasta & Pizza,Pinkberry,Smokey Bones BBQ & Grill,AbbVie,"[""Bojangles’"",""Jersey Mike’s"",""McDelivery"",""Coffee Bean & Tea Leaf"",""Marco’s Pizza"",""Old Chicago Pasta & Pizza"",""Pinkberry"",""Smokey Bones BBQ & Grill"",""AbbVie""]"
11,Air Optix,Scar Away,SynergEyes,Zantac,ZzzQuil,Advil,Afrin,Alavert,Aleve,"[""Air Optix"",""Scar Away"",""SynergEyes"",""Zantac"",""ZzzQuil"",""Advil"",""Afrin"",""Alavert"",""Aleve""]"
12,Allegra,Band-Aid,ClariSpray,Little Fevers,Xyzal,Breo,Eylea,Januvia,Revlimid,"[""Allegra"",""Band-Aid"",""ClariSpray"",""Little Fevers"",""Xyzal"",""Breo"",""Eylea"",""Januvia"",""Revlimid""]"
13,Symbicort,Vesicare,Victoza,Blackrock (ishares),Credit Karma,E*TRADE,FreeCreditscore.com,Rocket Mortgage,Skrill,"[""Symbicort"",""Vesicare"",""Victoza"",""Blackrock (ishares)"",""Credit Karma"",""E*TRADE"",""FreeCreditscore.com"",""Rocket Mortgage"",""Skrill""]"
14,TD Ameritrade,Venmo,Voya Financial,Caesar’s Rewards,Winstar World Casino,BevMo!,Fresh & Easy,Benefit Cosmetics & Boutique,Color Vibrancy,"[""TD Ameritrade"",""Venmo"",""Voya Financial"",""Caesar’s Rewards"",""Winstar World Casino"",""BevMo!"",""Fresh & Easy"",""Benefit Cosmetics & Boutique"",""Color Vibrancy""]"
15,European Wax Center,Garnier,Great Clips,Hairitage By Mindy,Head & Shoulders,Healthy Look,Herbal Essences,John Frieda,Kristin Ess,"[""European Wax Center"",""Garnier"",""Great Clips"",""Hairitage By Mindy"",""Head & Shoulders"",""Healthy Look"",""Herbal Essences"",""John Frieda"",""Kristin Ess""]"
16,L'Oreal Paris,Nice 'n Easy,Power Moisture,Smooth Intense,Total Repair 5,TPH By Taraji,Triple Resist,AARP Auto/Home Insurance from the Hartford,Blue Cross/Blue Shield,"[""L'Oreal Paris"",""Nice 'n Easy"",""Power Moisture"",""Smooth Intense"",""Total Repair 5"",""TPH By Taraji"",""Triple Resist"",""AARP Auto/Home Insurance from the Hartford"",""Blue Cross/Blue Shield""]"
17,Healthy Paws,PetPlan,Trupanion,CNN,E!,ESPNU,Fox Business Network,MotorTrend TV,NBC Sports Network,"[""Healthy Paws"",""PetPlan"",""Trupanion"",""CNN"",""E!"",""ESPNU"",""Fox Business Network"",""MotorTrend TV"",""NBC Sports Network""]"
18,Paramount Network,SyFy,truTV,23andMe,AncestryDNA,Doordash,DraftKings,Eventbrite,FanDuel,"[""Paramount Network"",""SyFy"",""truTV"",""23andMe"",""AncestryDNA"",""Doordash"",""DraftKings"",""Eventbrite"",""FanDuel""]"
19,Flickr,GoodRx,Google Docs,Groupon,Hello Fresh,iHeartRadio,Instagram,LivingSocial,OK Cupid,"[""Flickr"",""GoodRx"",""Google Docs"",""Groupon"",""Hello Fresh"",""iHeartRadio"",""Instagram"",""LivingSocial"",""OK Cupid""]"
20,Pinterest,Seamless.com,Shopify,Snapchat,Spotify,TikTok,Tumblr,Uber Eats,WhatsApp,"[""Pinterest"",""Seamless.com"",""Shopify"",""Snapchat"",""Spotify"",""TikTok"",""Tumblr"",""Uber Eats"",""WhatsApp""]"
21,Wix.com,YouTube,YouTube Music,YP.com (Yellow Pages),Zillow,ZipRecruiter,Carvana,Cooper Tires,ExxonMobil,"[""Wix.com"",""YouTube"",""YouTube Music"",""YP.com (Yellow Pages)"",""Zillow"",""ZipRecruiter"",""Carvana"",""Cooper Tires"",""ExxonMobil""]"
22,Firestone,GMGoodwrench,Goodyear,Gulf,Jiffy Lube,Marathon,Babyganics,Believe Beauty,Boots No. 7,"[""Firestone"",""GMGoodwrench"",""Goodyear"",""Gulf"",""Jiffy Lube"",""Marathon"",""Babyganics"",""Believe Beauty"",""Boots No. 7""]"
23,Clean & Clear,Col-Lab,Garnier,L'Oreal Paris,Le Petit Marseillais,The Honest Company,Voluminous,Beanitos,Bolthouse Dressings,"[""Clean & Clear"",""Col-Lab"",""Garnier"",""L'Oreal Paris"",""Le Petit Marseillais"",""The Honest Company"",""Voluminous"",""Beanitos"",""Bolthouse Dressings""]"
